Fragment,Count,Time (ms),Size (bytes)
CodeSystem.changes,5,0,0
CodeSystem.content,5,31,10621
CodeSystem.nsinfo,5,4,0
CodeSystem.summary,5,23,5418
CodeSystem.summary-table,5,5,5418
CodeSystem.xref,5,0,806
Cross.canonical-index,4,0,13856
Cross.codesystem-list,4,0,1580
Cross.codesystem-ref-all-list,4,1,5484
Cross.codesystem-ref-list,4,2,5484
Cross.cross-version-analysis,4,0,1148
Cross.cross-version-analysis-inline,4,0,1112
Cross.deleted-extensions,4,36,48
Cross.dependency-table,4,0,80064
Cross.dependency-table-nontech,4,0,11220
Cross.dependency-table-short,4,0,75892
Cross.deprecated-list,4,36,112
Cross.expansion-params,4,0,0
Cross.extension-list,4,2,4308
Cross.extension-list-,828,145,1351952
Cross.extension-search-list,604,1,11476
Cross.globals-table,4,0,256
Cross.ip-statements,4,28,9869
Cross.list-accounts,4,0,0
Cross.list-accounts-json,4,0,0
Cross.list-accounts-xml,4,0,0
Cross.list-activitydefinitions,4,1,0
Cross.list-activitydefinitions-json,4,1,0
Cross.list-activitydefinitions-xml,4,1,0
Cross.list-actordefinitions,4,1,0
Cross.list-actordefinitions-json,4,2,0
Cross.list-actordefinitions-xml,4,3,0
Cross.list-adverseevents,4,1,0
Cross.list-adverseevents-json,4,1,0
Cross.list-adverseevents-xml,4,1,0
Cross.list-allergyintolerances,4,0,0
Cross.list-allergyintolerances-json,4,0,0
Cross.list-allergyintolerances-xml,4,0,0
Cross.list-appointmentresponses,4,1,0
Cross.list-appointmentresponses-json,4,1,0
Cross.list-appointmentresponses-xml,4,2,0
Cross.list-appointments,4,1,0
Cross.list-appointments-json,4,1,0
Cross.list-appointments-xml,4,1,0
Cross.list-auditevents,4,0,0
Cross.list-auditevents-json,4,0,0
Cross.list-auditevents-xml,4,0,0
Cross.list-basics,4,0,0
Cross.list-basics-json,4,0,0
Cross.list-basics-xml,4,1,0
Cross.list-binaries,4,0,0
Cross.list-binaries-json,4,0,0
Cross.list-binaries-xml,4,1,0
Cross.list-biologicallyderivedproducts,4,1,0
Cross.list-biologicallyderivedproducts-json,4,1,0
Cross.list-biologicallyderivedproducts-xml,4,1,0
Cross.list-bodystructures,4,0,0
Cross.list-bodystructures-json,4,3,0
Cross.list-bodystructures-xml,4,4,0
Cross.list-bundles,4,0,0
Cross.list-bundles-json,4,2,0
Cross.list-bundles-xml,4,2,0
Cross.list-byid-accounts,4,1,0
Cross.list-byid-accounts-json,4,1,0
Cross.list-byid-accounts-xml,4,1,0
Cross.list-byid-activitydefinitions,4,0,0
Cross.list-byid-activitydefinitions-json,4,1,0
Cross.list-byid-activitydefinitions-xml,4,2,0
Cross.list-byid-actordefinitions,4,0,0
Cross.list-byid-actordefinitions-json,4,0,0
Cross.list-byid-actordefinitions-xml,4,0,0
Cross.list-byid-adverseevents,4,0,0
Cross.list-byid-adverseevents-json,4,0,0
Cross.list-byid-adverseevents-xml,4,1,0
Cross.list-byid-allergyintolerances,4,0,0
Cross.list-byid-allergyintolerances-json,4,1,0
Cross.list-byid-allergyintolerances-xml,4,2,0
Cross.list-byid-appointmentresponses,4,1,0
Cross.list-byid-appointmentresponses-json,4,1,0
Cross.list-byid-appointmentresponses-xml,4,2,0
Cross.list-byid-appointments,4,0,0
Cross.list-byid-appointments-json,4,1,0
Cross.list-byid-appointments-xml,4,2,0
